bucket,value
2026-01-23T23,850.369
2026-01-24T00,631.372
2026-01-24T01,527.03
2026-01-24T02,506.75
2026-01-24T03,497.568
2026-01-24T04,489.757
2026-01-24T05,493.361
2026-01-24T06,517.911
2026-01-24T07,661.68
2026-01-24T08,969.637
2026-01-24T09,1566.13
2026-01-24T10,2352.696
2026-01-24T11,2448.913
2026-01-24T12,2494.681
2026-01-24T13,2504.837
2026-01-24T14,2548.806
2026-01-24T15,2523.257
2026-01-24T16,2510.941
2026-01-24T17,2487.108
2026-01-24T18,2539.573
2026-01-24T19,2496.135
2026-01-24T20,2505.424
2026-01-24T21,2220.047
2026-01-24T22,1304.42
2026-01-24T23,883.964
2026-01-25T00,660.209
2026-01-25T01,550.693
2026-01-25T02,524.2
2026-01-25T03,519.061
2026-01-25T04,509.372
2026-01-25T05,510.523
2026-01-25T06,526.975
2026-01-25T07,599.54
2026-01-25T08,774.354
2026-01-25T09,895.989
2026-01-25T10,1055.495
2026-01-25T11,1362.49
2026-01-25T12,2081.418
2026-01-25T13,2465.953
2026-01-25T14,2502.287
2026-01-25T15,2479.557
2026-01-25T16,2426.896
2026-01-25T17,2432.689
2026-01-25T18,2449.714
2026-01-25T19,2417.043
2026-01-25T20,2139.669
2026-01-25T21,1504.309
2026-01-25T22,1017.317
2026-01-25T23,707.655
2026-01-26T00,607.845
2026-01-26T01,544.731
2026-01-26T02,521.31
2026-01-26T03,507.822
2026-01-26T04,499.28
2026-01-26T05,496.371
2026-01-26T06,517.154
2026-01-26T07,660.382
2026-01-26T08,964.828
2026-01-26T09,1598.504
2026-01-26T10,2353.305
2026-01-26T11,2433.964
2026-01-26T12,2488.392
2026-01-26T13,2497.913
2026-01-26T14,2489.184
2026-01-26T15,2489.93
2026-01-26T16,2491.052
2026-01-26T17,2459.288
2026-01-26T18,2447.027
2026-01-26T19,2459.068
2026-01-26T20,2428.923
2026-01-26T21,2050.415
2026-01-26T22,1166.76
2026-01-26T23,784.777
2026-01-27T00,636.14
2026-01-27T01,550.123
2026-01-27T02,523.857
2026-01-27T03,516.025
2026-01-27T04,510.322
2026-01-27T05,512.986
2026-01-27T06,550.682
2026-01-27T07,644.147
2026-01-27T08,991.131
2026-01-27T09,1528.021
2026-01-27T10,2341.545
2026-01-27T11,2430.235
2026-01-27T12,2469.454
2026-01-27T13,2446.364
2026-01-27T14,2445.849
2026-01-27T15,2440.904
2026-01-27T16,2471.418
2026-01-27T17,2456.798
2026-01-27T18,2463.747
2026-01-27T19,2457.896
2026-01-27T20,2418.281
2026-01-27T21,2054.943
2026-01-27T22,1175.412
2026-01-27T23,773.401
2026-01-28T00,601.211
2026-01-28T01,527.626
2026-01-28T02,506.206
2026-01-28T03,503.27
2026-01-28T04,494.833
2026-01-28T05,493.574
2026-01-28T06,533.415
2026-01-28T07,639.155
2026-01-28T08,894.498
2026-01-28T09,1453.195
2026-01-28T10,2146.882
2026-01-28T11,2279.702
2026-01-28T12,2331.692
2026-01-28T13,2365.192
2026-01-28T14,2344.955
2026-01-28T15,2322.562
2026-01-28T16,2309.487
2026-01-28T17,2300.31
2026-01-28T18,2298.241
2026-01-28T19,2290.893
2026-01-28T20,2244.449
2026-01-28T21,1922.537
2026-01-28T22,1183.54
2026-01-28T23,791.312
2026-01-29T00,616.013
2026-01-29T01,544.134
2026-01-29T02,529.081
2026-01-29T03,505.193
2026-01-29T04,500.786
2026-01-29T05,502.868
2026-01-29T06,530.827
2026-01-29T07,667.42
2026-01-29T08,1020.343
2026-01-29T09,1668.092
2026-01-29T10,2477.874
2026-01-29T11,2542.518
2026-01-29T12,2595.71
2026-01-29T13,2585.3
2026-01-29T14,2568.587
2026-01-29T15,2574.888
2026-01-29T16,2570.776
2026-01-29T17,2559.572
2026-01-29T18,2577.606
2026-01-29T19,2543.903
2026-01-29T20,2488.258
2026-01-29T21,2111.92
2026-01-29T22,1222.874
2026-01-29T23,817.656
2026-01-30T00,622.668
2026-01-30T01,530.122
2026-01-30T02,509.113
2026-01-30T03,494.539
2026-01-30T04,486.225
2026-01-30T05,479.583
2026-01-30T06,503.121
2026-01-30T07,656.428
2026-01-30T08,1008.061
2026-01-30T09,1649.247
2026-01-30T10,2425.129
2026-01-30T11,2448.107
2026-01-30T12,2519.14
2026-01-30T13,2541.751
2026-01-30T14,2550.083
2026-01-30T15,2541.844
2026-01-30T16,2542.156
2026-01-30T17,2527.127
2026-01-30T18,2536.493
2026-01-30T19,2536.907
2026-01-30T20,2487.414
2026-01-30T21,2162.503
2026-01-30T22,1276.281
2026-01-30T23,850.369
2026-01-31T00,631.372
2026-01-31T01,527.03
2026-01-31T02,506.75
2026-01-31T03,497.568
2026-01-31T04,489.757
2026-01-31T05,493.361
2026-01-31T06,517.911
2026-01-31T07,661.68
2026-01-31T08,969.637
2026-01-31T09,1566.13
2026-01-31T10,2352.696
2026-01-31T11,2448.913
2026-01-31T12,2494.681
2026-01-31T13,2504.837
2026-01-31T14,2548.806
2026-01-31T15,2523.257
2026-01-31T16,2510.941
2026-01-31T17,2487.108
2026-01-31T18,2539.573
2026-01-31T19,2496.135
2026-01-31T20,2505.424
2026-01-31T21,2220.047
2026-01-31T22,1304.42
2026-01-31T23,883.964
2026-02-01T00,666.945
2026-02-01T01,564.728
2026-02-01T02,418.46
2026-02-01T03,510.462
2026-02-01T04,507.07
2026-02-01T05,503.279
2026-02-01T06,522.282
2026-02-01T07,590.617
2026-02-01T08,736.136
2026-02-01T09,873.716
2026-02-01T10,1061.412
2026-02-01T11,1312.55
2026-02-01T12,1988.104
2026-02-01T13,2455.031
2026-02-01T14,2475.067
2026-02-01T15,2449.19
2026-02-01T16,2396.794
2026-02-01T17,2346.656
2026-02-01T18,2381.749
2026-02-01T19,2316.674
2026-02-01T20,2013.328
2026-02-01T21,1369.766
2026-02-01T22,917.537
2026-02-01T23,654.98
2026-02-02T00,584.828
2026-02-02T01,520.961
2026-02-02T02,503.51
2026-02-02T03,491.784
2026-02-02T04,485.969
2026-02-02T05,478.518
2026-02-02T06,495.071
2026-02-02T07,616.133
2026-02-02T08,862.597
2026-02-02T09,1429.921
2026-02-02T10,2263.314
2026-02-02T11,2333.744
2026-02-02T12,2358.63
2026-02-02T13,2359.783
2026-02-02T14,2316.341
2026-02-02T15,2297.556
2026-02-02T16,2280.296
2026-02-02T17,2262.207
2026-02-02T18,2257.408
2026-02-02T19,2241.814
2026-02-02T20,2173.561
2026-02-02T21,1861.417
2026-02-02T22,1068.701
2026-02-02T23,687.871
2026-02-03T00,583.606
2026-02-03T01,517.335
2026-02-03T02,493.815
2026-02-03T03,482.2
2026-02-03T04,467.691
2026-02-03T05,463.02
2026-02-03T06,476.841
2026-02-03T07,579.411
2026-02-03T08,935.85
2026-02-03T09,1500.209
2026-02-03T10,2280.469
2026-02-03T11,2321.279
2026-02-03T12,2378.962
2026-02-03T13,2379.278
2026-02-03T14,2398.07
2026-02-03T15,2362.088
2026-02-03T16,2342.675
2026-02-03T17,2286.778
2026-02-03T18,2245.752
2026-02-03T19,2235.761
2026-02-03T20,2177.212
2026-02-03T21,1869.327
2026-02-03T22,1097.864
2026-02-03T23,734.053
2026-02-04T00,614.354
2026-02-04T01,562.885
2026-02-04T02,541.289
2026-02-04T03,526.001
2026-02-04T04,515.89
2026-02-04T05,506.305
2026-02-04T06,514.621
2026-02-04T07,614.195
2026-02-04T08,935.2
2026-02-04T09,1533.03
2026-02-04T10,2276.234
2026-02-04T11,2334.318
2026-02-04T12,2413.253
2026-02-04T13,2387.552
2026-02-04T14,2375.456
2026-02-04T15,2356.329
2026-02-04T16,2329.168
2026-02-04T17,2273.461
2026-02-04T18,2260.415
2026-02-04T19,2227.106
2026-02-04T20,2180.975
2026-02-04T21,1871.058
2026-02-04T22,1098.759
2026-02-04T23,742.731
2026-02-05T00,593.065
2026-02-05T01,537.476
2026-02-05T02,518.519
2026-02-05T03,505.885
2026-02-05T04,497.141
2026-02-05T05,496.028
2026-02-05T06,505.628
2026-02-05T07,628.503
2026-02-05T08,935.639
2026-02-05T09,1553.437
2026-02-05T10,2325.63
2026-02-05T11,2359.228
2026-02-05T12,2432.183
2026-02-05T13,2433.305
2026-02-05T14,2406.73
2026-02-05T15,2373.002
2026-02-05T16,2371.169
2026-02-05T17,2349.108
2026-02-05T18,2344.555
2026-02-05T19,2293.054
2026-02-05T20,2237.634
2026-02-05T21,1893.415
2026-02-05T22,1088.949
2026-02-05T23,705.264
2026-02-06T00,586.119
2026-02-06T01,533.982
2026-02-06T02,519.243
2026-02-06T03,511.56
2026-02-06T04,498.408
2026-02-06T05,483.432
2026-02-06T06,485.301
2026-02-06T07,577.506
2026-02-06T08,912.758
2026-02-06T09,1524.498
2026-02-06T10,2301.166
2026-02-06T11,2360.954
2026-02-06T12,2409.622
2026-02-06T13,2430.861
2026-02-06T14,2430.243
2026-02-06T15,2400.386
2026-02-06T16,2350.305
2026-02-06T17,2372.358
2026-02-06T18,2374.951
2026-02-06T19,2363.25
2026-02-06T20,2309.226
2026-02-06T21,2001.061
2026-02-06T22,1191.325
2026-02-06T23,802.79
2026-02-07T00,611.539
2026-02-07T01,530.14
2026-02-07T02,513.99
2026-02-07T03,504.894
2026-02-07T04,490.816
2026-02-07T05,486.356
2026-02-07T06,505.546
2026-02-07T07,605.025
2026-02-07T08,871.164
2026-02-07T09,1456.067
2026-02-07T10,2242.195
2026-02-07T11,2353.1
2026-02-07T12,2427.167
2026-02-07T13,2477.221
2026-02-07T14,2504.81
2026-02-07T15,2505.105
2026-02-07T16,2460.325
2026-02-07T17,2441.169
2026-02-07T18,2464.712
2026-02-07T19,2437.656
2026-02-07T20,2411.876
2026-02-07T21,2086.858
2026-02-07T22,1255.425
2026-02-07T23,833.611
2026-02-08T00,666.945
2026-02-08T01,564.728
2026-02-08T02,418.46
2026-02-08T03,510.462
2026-02-08T04,507.07
2026-02-08T05,503.279
2026-02-08T06,522.282
2026-02-08T07,590.617
2026-02-08T08,736.136
2026-02-08T09,873.716
2026-02-08T10,1061.412
2026-02-08T11,1312.55
2026-02-08T12,1988.104
2026-02-08T13,2455.031
2026-02-08T14,2475.067
2026-02-08T15,2449.19
