bucket,value
2026-01-23T09,790.244
2026-01-23T10,1153.884
2026-01-23T11,1300.115
2026-01-23T12,1381.786
2026-01-23T13,1416.690
2026-01-23T14,1376.995
2026-01-23T15,1358.516
2026-01-23T16,1439.503
2026-01-23T17,1342.091
2026-01-23T18,1073.582
2026-01-23T19,1075.635
2026-01-23T20,1042.784
2026-01-23T21,993.280
2026-01-23T22,709.257
2026-01-23T23,465.614
2026-01-24T00,373.552
2026-01-24T01,449.688
2026-01-24T02,664.695
2026-01-24T03,667.546
2026-01-24T04,678.097
2026-01-24T05,675.531
2026-01-24T06,726.858
2026-01-24T07,782.749
2026-01-24T08,875.709
2026-01-24T09,799.858
2026-01-24T10,1080.450
2026-01-24T11,1199.644
2026-01-24T12,1360.757
2026-01-24T13,1436.323
2026-01-24T14,1405.811
2026-01-24T15,1369.882
2026-01-24T16,1365.319
2026-01-24T17,1340.796
2026-01-24T18,1172.840
2026-01-24T19,1022.564
2026-01-24T20,1014.579
2026-01-24T21,973.517
2026-01-24T22,781.893
2026-01-24T23,548.922
2026-01-25T00,443.108
2026-01-25T01,655.537
2026-01-25T02,668.939
2026-01-25T03,660.100
2026-01-25T04,666.943
2026-01-25T05,644.702
2026-01-25T06,587.674
2026-01-25T07,616.473
2026-01-25T08,657.533
2026-01-25T09,549.465
2026-01-25T10,682.056
2026-01-25T11,914.445
2026-01-25T12,1175.633
2026-01-25T13,1320.770
2026-01-25T14,1275.718
2026-01-25T15,1300.240
2026-01-25T16,1365.537
2026-01-25T17,1314.211
2026-01-25T18,1032.493
2026-01-25T19,997.135
2026-01-25T20,970.047
2026-01-25T21,703.726
2026-01-25T22,599.365
2026-01-25T23,466.489
2026-01-26T00,429.169
2026-01-26T01,497.323
2026-01-26T02,634.486
2026-01-26T03,618.802
2026-01-26T04,556.636
2026-01-26T05,556.351
2026-01-26T06,635.341
2026-01-26T07,669.561
2026-01-26T08,772.219
2026-01-26T09,774.215
2026-01-26T10,1161.180
2026-01-26T11,1239.885
2026-01-26T12,1381.040
2026-01-26T13,1409.271
2026-01-26T14,1390.450
2026-01-26T15,1368.493
2026-01-26T16,1384.177
2026-01-26T17,1296.917
2026-01-26T18,1065.651
2026-01-26T19,1073.350
2026-01-26T20,1029.150
2026-01-26T21,956.719
2026-01-26T22,655.017
2026-01-26T23,420.329
2026-01-27T00,349.609
2026-01-27T01,584.583
2026-01-27T02,658.440
2026-01-27T03,651.596
2026-01-27T04,666.424
2026-01-27T05,664.998
2026-01-27T06,743.418
2026-01-27T07,819.842
2026-01-27T08,903.394
2026-01-27T09,797.029
2026-01-27T10,1170.021
2026-01-27T11,1323.153
2026-01-27T12,1350.528
2026-01-27T13,1414.690
2026-01-27T14,1400.147
2026-01-27T15,1357.658
2026-01-27T16,1343.399
2026-01-27T17,1203.670
2026-01-27T18,1034.284
2026-01-27T19,1034.854
2026-01-27T20,997.498
2026-01-27T21,926.777
2026-01-27T22,592.282
2026-01-27T23,418.618
2026-01-28T00,420.202
